Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
13773,Pulaubatu,"",PAPUA BARAT,Kab. KAIMANA,"","","-3.4503219444444446,133.63214805555558",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/13773
11825,Hatlal,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-1.6895125,130.0521788888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11825
13696,Miwara Subutruit Risinsemus,"",PAPUA BARAT,Kab. KAIMANA,"","","-3.808643333333333,134.0081088888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/13696
11668,Dio,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-1.4337022222222222,130.32065166666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11668
11747,Friwin,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-0.4728477777777778,130.69255694444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11747
11938,Kalaan Nus,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-1.6325469444444445,130.24168944444443",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11938
13024,Waaf Atsa,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","-2.1448844444444446,130.22936805555557",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/13024
10891,Atotpopin Timur,"",PAPUA BARAT,Kab. FAKFAK,"","","-2.628686111111111,132.48604972222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/10891
13319,Konde Baba,"",PAPUA BARAT,Kab. TELUK WONDAMA,"","","-1.9938691666666668,134.15446222222224",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/13319
11513,Bawang Yef,"",PAPUA BARAT,Kab. RAJA AMPAT,"","","0.17606694444444443,130.0335625",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11513
11217,Sagaranusa,"",PAPUA BARAT,Kab. FAKFAK,"","","-2.712199444444445,132.1519661111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/11217
