Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
1707,Burung,"",JAMBI,Kab. TANJUNG JABUNG TIMUR,"","","-1.061388888888889,104.26277777777777"
1709,Mudo,"",JAMBI,Kab. TANJUNG JABUNG TIMUR,"","","-1.04723,104.19315972222222"
1711,Tapakkudo,"",JAMBI,Kab. TANJUNG JABUNG TIMUR,"","","-1.04482,104.24841055555555"
1708,Harapan,"",JAMBI,Kab. TANJUNG JABUNG TIMUR,"","","-1.083888888888889,104.19722222222222"
1713,Wantambi,"",JAMBI,Kab. TANJUNG JABUNG TIMUR,"","","-1.0432800000000002,104.2014"
1706,Balai,"",JAMBI,Kab. TANJUNG JABUNG TIMUR,"","","-1.0611111111111111,104.21805555555555"
1712,Tengah,"",JAMBI,Kab. TANJUNG JABUNG TIMUR,"","","-1.0425600000000002,104.23062972222222"
1710,Pedado Anak,"",JAMBI,Kab. TANJUNG JABUNG TIMUR,"","","-1.03835,104.18045000000001"
