Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
14034,Mangga,"",PAPUA,Kab. NABIRE,"",,"-3.1643775,134.89389944444443"
14026,Iwowaje,"",PAPUA,Kab. NABIRE,"",,"-3.162777777777778,134.89083333333332"
14369,Arwai Mios,"",PAPUA,Kab. SUPIORI,"",,"-0.7769444444444445,135.72611111111112"
14333,Armo,"",PAPUA,Kab. SARMI,"",,"-1.6842472222222222,138.79841222222223"
14194,Yenusi Sasawa,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.799676111111111,135.93421833333335"
14178,Wanandief,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9080555555555554,136.36388888888888"
14367,Arwai Bedar,"",PAPUA,Kab. SUPIORI,"",,"-0.7502563888888889,135.47323972222222"
14068,Apupi,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.8948716666666667,136.36606138888888"
14042,Rage,"",PAPUA,Kab. NABIRE,"",,"-3.0367027777777778,134.83842"
14219,Awin Kasun,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.1169494444444446,135.81374861111112"
14243,Insarauki Kior,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2469444444444444,136.3175"
14047,Rorobo,"",PAPUA,Kab. NABIRE,"",,"-2.395277777777778,134.96194444444444"
14502,Pramios,"",PAPUA,Kab. SUPIORI,"",,"-0.8655555555555555,135.52805555555557"
14281,Numfor,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0382561111111113,134.88857527777776"
14093,Faraifaf,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.9244444444444444,136.3836111111111"
14338,Mengge,"",PAPUA,Kab. SARMI,"",,"-2.2080555555555557,139.52972222222223"
14531,Fun Timur,"",PAPUA,KOTA JAYAPURA ,"",,"-2.6213888888888888,140.76833333333335"
14330,Yapero,"",PAPUA,Kab. MIMIKA,"",,"-5.036403611111111,137.18874277777778"
14301,Runi,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2941666666666665,136.6952777777778"
14534,Fun Utara,"",PAPUA,KOTA JAYAPURA ,"",,"-2.6208333333333336,140.7686111111111"
14242,Inampek,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0686375,134.82307111111112"
14089,Diawai,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.5240577777777777,135.83072277777777"
14116,Kayari Miosnum Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.5041666666666667,135.24916666666667"
14234,Dawi,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.2819244444444444,136.671785"
14430,Insumandundi,"",PAPUA,Kab. SUPIORI,"",,"-0.85,135.51055555555556"
14049,Sariwe,"",PAPUA,Kab. NABIRE,"",,"-3.0452777777777778,135.78472222222223"
14098,Harawiri Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.6114430555555557,135.5752713888889"
14401,Enamnbi,"",PAPUA,Kab. SUPIORI,"",,"-0.7778680555555556,135.47742194444444"
13989,Arer,"",PAPUA,Kab. JAYAPURA,"",,"-2.3241666666666663,140.13916666666665"
14425,Insnessofi,"",PAPUA,Kab. SUPIORI,"",,"-0.7430555555555555,135.47305555555556"
14256,Karwar Oser,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0058333333333334,134.97055555555556"
14043,Ratewa,"",PAPUA,Kab. NABIRE,"",,"-2.9486511111111113,135.754085"
14162,Sebani,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.524722222222222,135.2225"
14189,Wori Papuma,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.7672222222222222,135.88325944444446"
14505,Sakukir,"",PAPUA,Kab. SUPIORI,"",,"-0.7444444444444444,135.47444444444446"
14149,Papari Nu,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.4722222222222223,135.01194444444445"
14529,Fun Selatan,"",PAPUA,KOTA JAYAPURA ,"",,"-2.6219444444444444,140.76805555555558"
14205,Abumduai,"",PAPUA,Kab. BIAK NUMFOR,"",,"-1.0286625,134.948755"
14005,Sensau,"",PAPUA,Kab. JAYAPURA,"",,"-2.4625000000000004,140.34444444444446"
14061,Aiwapi Besar,"",PAPUA,Kab. KEPULAUAN YAPEN,"",,"-1.481388888888889,135.01611111111112"
14371,Ayami,"",PAPUA,Kab. SUPIORI,"",,"-0.6683333333333333,135.62444444444446"
