Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal
8350,Mongkeluno Selatan,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.885833333333333,122.74381666666667"
8315,Lemo,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.927420000000001,122.75619"
8390,Tambiundalo,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.883333333333333,122.75805555555556"
8342,Mataghontoghe Timur,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.944183333333333,122.76283333333333"
8396,Teluktongkuno Timur,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.97135,122.71946"
8705,Mapara,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.4947644444444443,122.41971833333334"
8589,Ompu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.5505555555555555,123.8475"
8639,Ujuumbu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.538333333333333,123.86972222222222"
8305,Lambunobanggai,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.9103,122.76135"
8417,Wubanolaa Kema,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.9097,122.7595"
8349,Mongkeluno Batukolaso,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.904722222222222,122.77027777777778"
8362,Napabale Selatan,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.904444444444445,122.77003333333333"
8382,Sampalu Selatan,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.92549,122.758"
8633,Tonualadamba,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.551111111111111,123.87222222222222"
8241,Barigau Barat,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.8886666666666665,122.75738333333334"
8556,Ladafi,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.4750000000000005,123.77777777777777"
8654,Watusahuu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.363888888888889,123.48416666666667"
8458,Sampakera,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.3475,122.49944444444445"
8284,Kayuangin Tengah,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.642499999999999,122.38972222222223"
8247,Batumandera Timur,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.921116666666667,122.76311666666666"
8749,Makassar,"",SULAWESI TENGGARA,KOTA BAUBAU,"","","-5.430000000000001,122.62694444444443"
8459,Siompu,"",SULAWESI TENGGARA,Kab. BUTON,"","","-5.664722222222222,122.51805555555555"
8325,Limamadawa Selatan,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.96504,122.72279"
8673,Watumerori,"",SULAWESI TENGGARA,Kab. KOLAKA UTARA,"","","-2.968055555555556,121.06388888888888"
8606,Sampalu,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.584722222222222,123.82888888888888"
8668,Sapiri Biccue,"",SULAWESI TENGGARA,Kab. KOLAKA UTARA,"","","-3.021713611111111,121.05509111111111"
8685,Bawulu,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.5577777777777775,122.31444444444445"
8699,Lohomalalan Barat,"",SULAWESI TENGGARA,Kab. KONAWE UTARA,"","","-3.504166666666667,122.44833333333334"
8669,Sapiri Loppoe,"",SULAWESI TENGGARA,Kab. KOLAKA UTARA,"","","-3.0305555555555554,121.04388888888889"
8323,Lima Tolu,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.893894722222222,122.77197194444445"
8273,Ghomenokuku,"",SULAWESI TENGGARA,Kab. MUNA,"","","-4.9069400000000005,122.76000194444444"
8740,Wacubengki,"",SULAWESI TENGGARA,Kab. BUTON UTARA,"","","-4.674444444444445,123.19444444444444"
8476,Kapal,"",SULAWESI TENGGARA,Kab. KONAWE SELATAN,"","","-4.14415888888889,122.89575"
8641,Wangiwangi,"",SULAWESI TENGGARA,Kab. WAKATOBI,"","","-5.311351111111111,123.58717916666666"
