Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
328,Panjang,"",SUMATERA UTARA,Kab. LANGKAT,PANGKALAN SUSU,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/328
663,Baohi,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.052222222222222225,98.32416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/663
1188,Musi,"",SUMATERA UTARA,Kab. NIAS,"","","0.07972222222222222,97.92972222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1188
329,Rawa,"",SUMATERA UTARA,Kab. LANGKAT,PANGKALAN SUSU,"","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/329
664,Barogan,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.30972222222222223,98.40944444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/664
1189,Onolimbu,"",SUMATERA UTARA,Kab. NIAS,"","","0.07555555555555556,97.9038888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1189
1190,Zôma Sebua,"",SUMATERA UTARA,Kab. NIAS,"","","0.0245475,97.95467472222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1190
665,Basake Sideide,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"
	00° 00' 47'' LU dan 980 36' 41"" BT
","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/665
1191,Zôma Siideide,"",SUMATERA UTARA,Kab. NIAS,"","","0.0225,97.96555555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1191
742,Simakonde,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.3988888888888889,98.50888888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/742
666,Basake Sebua,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"
	00° 01' 10'' LU dan 980 38' 34"" BT
","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/666
743,Simondang,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.17055555555555554,98.41055555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/743
667,Batu,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"
	00° 00' 18'' LU dan 980 14' 59"" BT
","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/667
744,Sipika,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.11055555555555556,98.3275",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/744
668,Batuapi Sebua,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.30666666666666664,98.40805555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/668
745,Sorobuna,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","-0.28694444444444445,98.49",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/745
669,Batuapi  Sideide,"",SUMATERA UTARA,Kab. NIAS SELATAN,Hibala,"","0.3055555555555555,98.40777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/669
670,Batumakele,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","-0.06527777777777778,98.30083333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/670
671,Batumandi,"",SUMATERA UTARA,Kab. NIAS SELATAN,Pulau - pulau Batu,"","0.5761111111111111,97.69638888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/671
