Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
6669,Batupuikang,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.6604977777777776,125.47617472222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6669
841,Tikus,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Lolak,"","0.8572222222222222,123.92416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/841
6588,Batunihaweng,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.78779,125.18714638888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6588
6670,Batupuki Sawenahe,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.803764722222222,125.3795436111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6670
6501,Enggahai Besar,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.5385294444444444,125.6574063888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6501
842,Laga Besar,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Nuangan,"","0.5727777777777777,124.56638888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/842
6671,Batupuki Timuhe,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.7956683333333334,125.37462805555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6671
6589,Batunona,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.3548030555555557,125.08003694444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6589
6672,Batusalana,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.118001666666667,125.38024027777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6672
6502,Enggahai Kecil,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.539386111111111,125.65642722222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6502
843,Laga Kecil,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Nuangan,"","0.5691666666666666,124.56527777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/843
6590,Batupandita,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.6771774999999998,125.17767611111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6590
6503,Entanamahamu,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.554625277777778,125.50360333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6503
844,Lampu,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Nuangan,"","0.4475,124.47805555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/844
6673,Batusenggelohe,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.661664722222222,125.47577277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6673
6504,Inise,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.7648377777777777,125.76213833333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6504
845,Pondan Moloben,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Pinolosian,"","0.4241666666666667,124.3625",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/845
6591,Batutuang,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.6763833333333331,125.11921388888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6591
6674,Batusinggelohi,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.0730447222222224,125.34202499999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6674
6505,Kahakitang,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.1682699999999997,125.52300777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6505
846,Babi,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Pinolosian,"","0.45083333333333336,124.46166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/846
6675,Batusohong,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.6634591666666667,125.4754688888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6675
300,MANTEHAGE,MANTERAWU,SULAWESI UTARA,Kab. MINAHASA UTARA,WORI,"","4.6419444444444435,126.84166666666665",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/300
6592,Bongko  Punten,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.3511761111111111,125.07786083333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6592
6506,Kalama,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.243212777777778,125.45948555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6506
847,Kelapa,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,pinolosian,"","0.4355555555555556,124.33416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/847
6593,Bulu,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.7441688888888889,124.76503444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6593
6676,Batutonggeng Kanuku,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.6926161111111115,125.39691888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6676
301,MAKALEHI,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,SIAU BARAT,"","2.7352777777777777,124.83055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/301
6677,Batutulang,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.6484230555555555,125.49024055555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6677
6594,Burung,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.3539100000000002,125.07985388888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6594
6507,Kalea,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","","3.357495,125.60200583333332",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6507
6678,Batuwola,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.0706205555555557,125.34326638888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6678
848,Pondan Mointok ,"",SULAWESI UTARA,Kab. BOLAANG MONGONDOW,Pinolosian,"","0.41861111111111116,124.35194444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/848
302,KAWALUSO,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,KENDAHE,"","4.231944444444444,124.67555555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/302
6679,Biaro,"",SULAWESI UTARA,Kab. SIAU TAGULANDANG BIARO,"","","2.1038811111111113,125.37343583333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6679
6510,Kemboleng,"",SULAWESI UTARA,Kab. KEPULAUAN SANGIHE,"","04039'23""LU dan 1125026'09""BT","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6510
6595,Gangga,"",SULAWESI UTARA,Kab. MINAHASA UTARA,"","","1.7702149999999999,125.05508888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/6595
