Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
5281,Rutong,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.386388888888888,121.05972222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5281
5365,Batumatua Ana,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.863499444444445,122.9890525",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5365
5524,Ndihang,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.64861111111111,119.4961111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5524
5443,Tuladak,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.864166666666666,123.05777777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5443
5204,Kepa,"",NUSA TENGGARA TIMUR,Kab. ALOR,"","","-8.273333333333333,124.40111111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5204
5282,Sui,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.407777777777778,121.05749999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5282
5603,Praihawu,"",NUSA TENGGARA TIMUR,Kab. SUMBA TENGAH,"","","-9.804722222222223,119.6763888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5603
5366,Batumatua,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.864166666666666,122.99166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5366
5205,Kura,"",NUSA TENGGARA TIMUR,Kab. ALOR,"","","-8.369722222222222,124.09666666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5205
5525,Nisaleme,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.619722222222222,119.34444444444443",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5525
5283,Susumolas,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.368333333333334,120.96777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5283
5444,Ufo Dale Ki,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.522210000000001,123.39345111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5444
5604,Watu Liangbowo,"",NUSA TENGGARA TIMUR,Kab. SUMBA TENGAH,"","","-9.779444444444445,119.65722222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5604
5367,Batumulu Kona,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.535555555555556,123.36833333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5367
5206,Lapang,"",NUSA TENGGARA TIMUR,Kab. ALOR,"","","-8.225,124.03222222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5206
5526,Padar Besar,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.65638888888889,119.57194444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5526
5284,Taor,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.390833333333333,121.09888888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5284
5445,Ufo Dale Kona,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.523515000000002,123.39434194444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5445
5605,Watuapulandu Besar,"",NUSA TENGGARA TIMUR,Kab. SUMBA TENGAH,"","","-9.781111111111112,119.59666666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5605
5207,Nub,"",NUSA TENGGARA TIMUR,Kab. ALOR,"","","-8.12225888888889,124.56502444444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5207
5368,Batuovak,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.734166666666665,122.93027777777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5368
5285,Tarang,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.414444444444445,121.02694444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5285
5527,Padar Kecil,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.690833333333334,119.53666666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5527
5606,Watuapulandu Kecil,"",NUSA TENGGARA TIMUR,Kab. SUMBA TENGAH,"","","-9.780833333333334,119.59638888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5606
5446,Ufo Dale Ledo Tena,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.521145,123.39497",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5446
5369,Batupana Dua,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.924722222222222,122.9863888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5369
5528,Pangaang Darat,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.44,119.89083333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5528
5208,Pantar,"",NUSA TENGGARA TIMUR,Kab. ALOR,"","","-8.421111111111111,124.13388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5208
5286,Tembaga,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.402777777777779,121.08833333333332",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5286
5607,Watudonang,"",NUSA TENGGARA TIMUR,Kab. SUMBA TENGAH,"","","-9.781666666666668,119.6036111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5607
5370,Batupana Esa,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.9225,123.00277777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5370
5447,Ufo Dale Ledo Ti,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.522123055555557,123.39422277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5447
5287,Tiga,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.410555555555556,121.09138888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5287
5209,Pura,"",NUSA TENGGARA TIMUR,Kab. ALOR,"","","-8.29861111111111,124.34638888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5209
887,Bajo,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,KOMODO,"
	080° 29’ 16’’ LS dan 119° 52’ 10’’ BT
","",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/887
5608,Watukali,"",NUSA TENGGARA TIMUR,Kab. SUMBA TENGAH,"","","-9.7825,119.65055555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5608
5448,Usu,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.523611111111112,123.40777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5448
5529,Pangaang Laut,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.436666666666667,119.89416666666668",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5529
5371,Batupianitas Ana,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.497499999999999,123.40416666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5371
5288,Watuwangka,"",NUSA TENGGARA TIMUR,Kab. NGADA,"","","-8.37888888888889,120.97416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5288
5609,Watukarumaloba,"",NUSA TENGGARA TIMUR,Kab. SUMBA TENGAH,"","","-9.776666666666667,119.61305555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5609
5450,Ambiloleh,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.725,119.61416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5450
5210,Rusa,"",NUSA TENGGARA TIMUR,Kab. ALOR,"","","-8.38861111111111,123.82305555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5210
5530,Panikia,"",NUSA TENGGARA TIMUR,Kab. MANGGARAI BARAT,"","","-8.592222222222222,119.75777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5530
5372,Batupianitas Tua,"",NUSA TENGGARA TIMUR,Kab. ROTE NDAO,"","","-10.496944444444443,123.40472222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/5372
