Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
8196,Onrongalang,"",SULAWESI SELATAN,Kab. LUWU TIMUR,"","","-2.638611111111111,121.0163511111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8196
7970,Madu,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.4864291666666665,121.76796583333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7970
8046,Lapoipoi,"",SULAWESI SELATAN,Kab. SINJAI,"","","-5.0625,120.4",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8046
7899,Batubissa,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.2509886111111115,120.44359888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7899
8123,Sadapur,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-7.758333333333334,117.2025",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8123
8198,Barrang Caddi,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.0811866666666665,119.32065916666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8198
7971,Malimbu,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.32396,120.45111277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7971
8047,Larearea,"",SULAWESI SELATAN,Kab. SINJAI,"","","-5.0706605555555555,120.39232583333335",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8047
7900,Batuboo,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.421967777777778,122.0906375",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7900
8124,Sadolangang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-6.974022222222223,118.80802444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8124
8048,Liangliang,"",SULAWESI SELATAN,Kab. SINJAI,"",5° 8' 19.000,"",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8048
7972,Mandeh,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.649166666666666,120.4263888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7972
8199,Barrang Lompo,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.0485125,119.32917166666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8199
7901,Batudampoong,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.443333333333333,120.51388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7901
8125,Sagara,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"",4° 42' 2.000,"",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8125
7974,Manyu,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.080349444444444,120.6179036111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7974
8200,Bonetambung,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.0366108333333335,119.27747305555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8200
7902,Batugiligili,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.370555555555555,121.05055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7902
8050,Bulubetta,"",SULAWESI SELATAN,Kab. BONE,"","","-4.951694444444445,120.314115",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8050
8201,Kayangan,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.113378333333333,119.40066527777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8201
8126,Sailus Besar,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-7.525277777777777,117.43388888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8126
7903,Batujangka,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.341607777777777,120.44826805555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7903
7975,Meong,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.132777777777777,120.75722222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7975
8202,Kodingareng,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.148333333333333,119.26472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8202
7904,Batukallong,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.405833333333334,121.80972222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7904
7976,Nambolaki,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.690111111111111,120.2795525",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7976
8127,Sailus Kecil,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-7.583055555555555,117.44805555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8127
8052,Aloang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-7.397835000000001,117.80607499999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8052
8203,Kodingarengkeke,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.106111111111111,119.28694444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8203
7905,Batulajaraha,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-5.844450277777778,120.530755",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7905
7977,Nona,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.041388888888889,120.6036111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7977
8053,Badi,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.967222222222222,119.2875",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8053
7906,Batulajarate,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-5.844378611111111,120.53071694444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7906
8128,Sakuala,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.655277777777778,119.5025",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8128
8054,Balang Caddi,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.942222222222222,119.41916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8054
8204,Kolokoloang,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.059905555555555,119.4659963888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8204
7978,Oputonde,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.233361666666667,120.44498888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7978
8129,Salebbo,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.727222222222222,119.30416666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8129
8055,Balang Lompo,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.943888888888889,119.39833333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8055
8205,Laelae,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.135855,119.39126361111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8205
7907,Batulontolonto,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.3711111111111105,121.83944444444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7907
7979,Pandan,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.346271111111111,120.4513775",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7979
8130,Salemo,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"",4° 41' 21.000,"",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8130
8056,Balobaloang Caddi,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-6.608638333333333,118.88663583333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8056
7908,Batupangnyu,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-5.738911944444444,120.48956694444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7908
8206,Langkai,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.031944444444444,119.095",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8206
7980,Pasi,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.17,120.41000000000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7980
8057,Balobaloang Lompo,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-6.651541111111111,118.92981",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8057
8207,Lanjukang,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-4.979722222222223,119.07722222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8207
7909,Baturemba,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.1,120.58999999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7909
8131,Saliriang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-5.035833333333334,117.05749999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8131
8058,Banabanawang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.668333333333334,119.505",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8058
7910,Batusiasia,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.204444444444444,120.44472222222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7910
7981,Pasitallu Lau,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.0408333333333335,121.06166666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7981
8132,Samatellu Borong,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.716944444444445,119.3536111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8132
8208,Lumulumu,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-4.975833333333333,119.21472222222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8208
8059,Banawaiya,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-6.828312222222222,119.17882472222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8059
7911,Batusilangga,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.109999999999999,120.58999999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7911
8209,Samalona,"",SULAWESI SELATAN,KOTA MAKASSAR,"","","-5.124935,119.34242583333332",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8209
7982,Pasitallu Raja,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.073611111111111,121.12138888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7982
8133,Samatellu Lompo,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.676944444444445,119.28472222222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8133
8060,Bangkauluang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-5.492914166666667,118.63051527777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8060
7912,Batusipoong,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.7175,120.42861111111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7912
8211,Libukang,"",SULAWESI SELATAN,KOTA PALOPO,"","","-2.9651222222222224,120.20123194444444",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8211
7983,Pasitallu Tangnga,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-7.063888888888889,121.09777777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7983
8134,Samatellu Pedda,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"",04041'21.3,"",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8134
8061,Bangkobangkoang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.773370277777778,119.43567027777779",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8061
7913,Batusobbolo,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.381794999999999,120.4540588888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7913
7984,Pasitanete,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-5.747335,120.48342638888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7984
8135,Sambargitang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-7.144722222222223,118.27916666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8135
8063,Bangkobangkoang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-6.639444444444444,118.32583333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8063
7914,Batusurut Raha,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.2058333333333335,120.44527777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7914
8136,Sambarjaga,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-7.089722222222222,118.23666666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8136
7985,Polassi,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.675000000000001,120.435",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7985
8064,Boko,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-7.398055555555556,117.7475",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8064
8137,Sanane Caddi,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-6.814923333333333,119.00347638888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8137
7915,Batusurut Rate,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.2075000000000005,120.44555555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7915
8065,Bontosua,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.928114166666667,119.3201825",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8065
7986,Pulopanjang,"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.959305555555556,120.78966777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7986
8138,Sanane Lompo,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-6.836944444444444,119.02027777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8138
8066,Butungbutungan,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-5.0525,117.91861111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8066
7916,Batutokong Ki'di',"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.819999999999999,120.78999999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7916
7987,Rajuni Bakka',"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.572795833333333,121.02524972222223",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7987
8139,Sanane,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.945833333333334,119.34138888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8139
8067,Cambangcambang,"",SULAWESI SELATAN,Kab. PANGKAJENE DAN KEPULAUAN,"","","-4.72,119.27333333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8067
7988,Rajuni Ki'di',"",SULAWESI SELATAN,Kab. KEPULAUAN SELAYAR,"","","-6.539565,120.99882527777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/7988
