Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
1767,Kupiah,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.7799,105.80414999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1767
1844,Segama Besar,"",LAMPUNG,Kab. LAMPUNG TIMUR,"","","-5.169370555555556,106.10914",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1844
1768,Mangkudu,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.850833333333333,105.68297000000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1768
1769,Mundu,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.680192777777778,105.8380036111111",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1769
1845,Segama Kecil,"",LAMPUNG,Kab. LAMPUNG TIMUR,"","","-5.15575,106.11058",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1845
1770,Panjang,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-6.09133,105.45781000000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1770
1847,Balak,"",LAMPUNG,Kab. PESAWARAN,"","","-5.75467,105.18084",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1847
1771,Panjukit,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.887919999999999,105.77861",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1771
1848,Batubolong,"",LAMPUNG,Kab. PESAWARAN,"","","-5.80722,105.30784",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1848
1772,Panjurit,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.8809000000000005,105.78047",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1772
1849,Batukerbau,"",LAMPUNG,Kab. PESAWARAN,"","","-5.844166666666666,105.31027777777777",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1849
1773,Rimau Balak,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.8561125,105.78509277777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1773
1850,Batulegundi Balak,"",LAMPUNG,Kab. PESAWARAN,"","","-5.837969999999999,105.28643",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1850
1774,Rimau Lunik,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.84549,105.79428",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1774
1851,Batulegundi,"",LAMPUNG,Kab. PESAWARAN,"","","-5.8400099999999995,105.27777999999999",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1851
1775,Sebesi,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.94667,105.48773",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1775
1852,Batuputih,"",LAMPUNG,Kab. PESAWARAN,"","","-5.821429999999999,105.32211",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1852
1776,Sebuku Kecil,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.88161,105.54020472222221",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1776
1853,Batusiuncal,"",LAMPUNG,Kab. PESAWARAN,"","","-5.79044,105.30275555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1853
1777,Sebuku,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.87872,105.51066",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1777
1854,Batusuluh Balak,"",LAMPUNG,Kab. PESAWARAN,"","","-5.72955,105.23975",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1854
1778,Sekepel,"",LAMPUNG,Kab. LAMPUNG SELATAN,"","","-5.851388888888889,105.69402000000001",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/1778
365,Tanjungputus,"",LAMPUNG,Kab. PESAWARAN,Tanjungputus,"","-5.73255,105.21135",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/365
