Island number,Island name,Other Names,Province,Kabupaten,Kecamatan,Coordinate Degree,Coordinate Decimal,PPK URL
8829,Banggo Kiki,"",GORONTALO,Kab. POHUWATO,"","","0.5083333333333333,121.64111111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8829
8830,Botuduluwo,"",GORONTALO,Kab. POHUWATO,"","","0.4791666666666667,121.70138888888889",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8830
8753,Batusungo Otolu,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9732333333333334,122.94741666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8753
8831,Burung Besar,"",GORONTALO,Kab. POHUWATO,"","","0.5322808333333334,121.53304972222222",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8831
8754,Batusungo Tuwawu,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9830333333333333,122.93948333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8754
8755,Bibinanga,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.8526944444444444,122.89378111111112",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8755
8832,Burung Kecil,"",GORONTALO,Kab. POHUWATO,"","","0.5413888888888889,121.525",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8832
8833,Dulangka,"",GORONTALO,Kab. POHUWATO,"","","0.3656047222222222,121.33799416666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8833
8756,Bogisa,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9378580555555556,122.85761416666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8756
8834,Huliahu Da'a,"",GORONTALO,Kab. POHUWATO,"","","0.8997222222222222,122.92833333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8834
8757,Bohu,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9097441666666667,122.73933027777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8757
8758,Bolas,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9249833333333333,123.0795",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8758
8835,Imamu,"",GORONTALO,Kab. POHUWATO,"","","0.5052713888888889,121.66910777777778",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8835
8836,Karang,"",GORONTALO,Kab. POHUWATO,"","","0.4955555555555556,121.53055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8836
8759,Botubotuwo Kiki,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.8484833333333334,122.8156",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8759
8837,Karanji,"",GORONTALO,Kab. POHUWATO,"","","0.47694444444444445,121.53138888888888",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8837
8760,Botubotuwo,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.8469952777777778,122.81671805555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8760
8761,Botudidingga,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9708083333333334,122.54946194444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8761
8838,Keakease,"",GORONTALO,Kab. POHUWATO,"","","0.5063888888888889,121.63055555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8838
8762,Botuduyonumo,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9872222222222222,122.53083333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8762
8839,Kiki Lito,"",GORONTALO,Kab. POHUWATO,"","","0.48305555555555557,122.11555555555555",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8839
8763,Botulobuntho Da'a,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9611683333333333,122.61733555555556",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8763
8840,Lahe,"",GORONTALO,Kab. POHUWATO,"","","0.4166666666666667,121.95333333333333",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8840
8841,Lamuo Da'a,"",GORONTALO,Kab. POHUWATO,"","","0.49916666666666665,121.5825",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8841
8764,Botulobuntho Kiki,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9485941666666666,122.60797666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8764
8765,Botungalaa Da'a,"",GORONTALO,Kab. GORONTALO UTARA,"","","1.0183333333333333,122.43821666666668",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8765
8842,Lamuo Kiki,"",GORONTALO,Kab. POHUWATO,"","","0.5017616666666667,121.58335694444445",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8842
8766,Botungalaa,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9913888888888889,122.51916666666666",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8766
8843,Limboku Da'a,"",GORONTALO,Kab. POHUWATO,"","","0.5283333333333334,121.63805555555557",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8843
8844,Limboku Kiki,"",GORONTALO,Kab. POHUWATO,"","","0.525,121.64583333333334",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8844
8767,Botungobungo,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.9233461111111111,122.73655",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8767
8845,Mabasar,"",GORONTALO,Kab. POHUWATO,"","","0.4173991666666667,121.44459555555557",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8845
8768,Botutotolu,"",GORONTALO,Kab. GORONTALO UTARA,"","","0.8946833333333333,122.70866666666667",http://www.ppk-kp3k.kkp.go.id/direktori-pulau/index.php/public_c/pulau_info/8768
